Theta,Phi,Lambda
1.3869186368098891,-3.4255734042651307,2.2449435919124046
-2.12522451376479,-2.6095856176017236,-3.3664498480906406
-1.086327125604962,0.0830675808464106,-2.9227589292474674
0.968703005832192,-2.2817537274993884,-1.2493164279818227
-1.7125998869154795,1.5327859917654938,-1.513838021529416
-2.423927532105632,-0.23868513021593962,-2.086403802128016
-2.809187000614778,-0.4187817295002601,0.1597698654960073
0.2821845128538398,3.310736511087651,-2.701356936416051
-3.003996362113465,-1.8099991316896573,-2.663758266257768
0.16224593177212202,1.8094008329252582,-2.821954719947935
0.4140185518862738,1.631605974783801,-0.9804136435745625
3.2064726034978026,-2.8201046370988347,-2.1079305794094876
0.49479990331729107,2.7403567088494403,2.629222390045667
1.4009752161518807,1.5869599106913093,1.1629101541535813
3.637935021843916,-0.18402293824943156,-1.9276063134808856
0.15843754230899443,-0.4754368858759073,1.3903294484028217
0.15802321789963886,1.3122511916591653,1.596899208319573
-2.456026071281561,-0.8266955313225136,0.3779540378158447
2.522459258972842,0.8901768489935955,-1.2581536745471609
-1.5380895688647886,-0.4177067068580876,-1.8210515531356593
1.6323850079090354,1.4588824289074755,1.1959773226084414
0.2599632683899905,-2.909070318697283,3.1326015937049263
2.222732042536021,0.698501110273318,-2.8184106614738296
-3.032453023558583,2.4516886226372754,-1.2419153072721856
-0.8397846257945988,-0.29104383535234707,-3.1095552399324897
0.9101497362195587,-0.25601620097804245,-0.06024717277804513
2.432523268895439,3.0911491302973366,-1.3821184632263463
-1.5060829921101067,-1.6771854665539117,1.656789994399374
-1.6374322792742133,0.31603676572211387,-2.286341924013697
-1.5815202969089122,-1.9463709000954328,-0.24383685381851072
1.4485778195906291,0.30272006194171436,1.0631952377068623
2.1519630911874477,-1.8262834803004317,-1.1376020736980248
0.4243615037566717,-1.3910064409662375,2.083185383942298
-0.42475644906073384,2.7455360244775813,0.670960752423909
3.138271582185853,1.4172468386740513,2.5901412690916024
-0.39397193879229203,0.17908284253639792,3.103089887904925
-2.8534485188789724,-1.6791398317133985,1.3666883989451395
-2.99370174927897,1.7002352667763345,3.207678874552859
-2.7271992022887446,2.39882567157885,-0.500514955914662
0.9587024070027641,-1.4297481609950067,1.8002140921756784
-2.903265891685416,0.14813678496163807,1.9016495830166995
-0.949035128738994,-2.5873182424446792,-2.1342727729734925
-1.4692239695073814,1.9023998173152692,1.6493029157260022
1.2497786627409018,1.272517574932273,0.6505328063921652
-1.7993050235166135,-1.1440649841244188,1.7991824299116372
2.9458116342344565,0.3032052746569134,-1.633750403071315
2.7792558609633997,-2.1960722112322824,1.043034056555315
-1.1884751493095187,1.0398107889720163,0.364069833077344
0.24231292816473599,-2.6875635341615554,-2.845964238926388
2.422996887242625,2.175279539688306,-1.7975907749050362
2.5849514132778664,-0.16475785448990454,-0.34512258325740763
1.358582456785278,-1.6024745314874491,2.8724457742204206
2.3027255489088114,2.9868912338299736,1.0205709605835664
-1.8144800939083692,-0.4948807192044126,0.07866948112441022
-0.3219813089304254,-2.5656589089599815,-1.526611123775445
3.0402110566307066,-1.9698680181986863,-0.6880537776973662
0.46446433633573636,1.882993616412705,-2.464239045419137
-1.8824595300632068,-1.8220576156205563,0.561408654114737
-3.0903611772866943,0.03540330062126331,-3.4759963436628936
-2.255296228416583,0.26698576722032763,0.012229408133571503
0.05917902698199171,-2.978508784475479,1.406369521520949
0.8942548690455877,-1.860872536105663,-2.628813909723562
1.889825939578274,-0.6961533689095392,1.6019182134088106
3.0994483029269566,1.7092834647015411,-2.6508672399199003
-0.6366600713813572,0.34919866834621793,1.7759273063833918
2.2096460027587495,1.5049691231391549,-2.8074002752200817
-2.412232318219002,-2.0064166970470207,-0.8808386473818418
-0.589772671320027,-2.6700632084397107,0.8117089615526611
2.7621215821395597,3.6303594022568664,-0.8349792163101658
0.6614497754708497,-0.29309409536606706,2.3514192414956776
-1.3728176080322254,-0.8051573676494695,-0.39205119026633933
2.7530809841163113,-3.4425503013897245,-1.1571503292376721
2.213959114435228,2.082004298441883,-0.8359283634258345
-2.9237152079148054,-3.3242024007978412,-0.5477882316032606
0.10591055543993133,-1.7397455870411282,-2.5956690905872533
-1.6859501668882748,-2.9687574479522127,-1.5948422411427183
-2.057751127818255,-2.178400835072323,-0.13339295481882682
1.6112829373333493,2.6034905729844082,-1.5366433189850777
-0.1751820237281958,1.37902177912902,-1.5227285733076787
0.06471546513866981,-0.060630352015595135,-0.2740471052012597
3.009069369431067,0.9544492847688211,-1.4395385642010354
-0.6475236042054823,3.1030227860049275,-2.7265386529335505
-3.5464149996203194,3.0363173937291816,-2.5490864091595316
2.308970999060655,1.4747794016920317,2.0692125664854726
0.48237033331410695,2.7130157114027904,0.9787586469658998
2.5150538202406847,-0.21966401099688382,1.135584646499191
1.479713412323487,0.7152148357662608,0.491479411124257
2.9501762593393552,-2.133292070488741,-0.6746203037749005
-1.6441325030523402,-2.753902592559174,-2.33572571509948
2.6536960132610004,2.408788673877505,-1.558344824566485
1.0314197548875592,-2.9871136379672967,-2.1836364377345037
