Theta,Phi,Lambda
-2.253936898026693,1.892064943999229,-2.478351691166103
-1.7196005639919294,-1.3917120402927612,0.25510241038151704
-1.7649758930413733,3.115374819400844,0.36344320298742694
-0.2430664733458987,0.35413405520799646,3.33729128423703
3.74802542293149,-3.0530064702043607,1.0101049960770812
0.7974191525610532,0.38723028649907737,-0.4588971041375449
0.03583897592387267,0.4673556030436219,2.7271427257629077
2.0001280505237236,0.31690283169375094,-1.8061861597667555
1.2900019490272772,0.5883112015073529,-2.2182415146729624
1.050016529382363,2.821452046364075,-0.20546645796917473
-2.49960693636467,-1.3521348180922836,1.199114947892642
2.4696100367464027,1.3256616751930637,0.3769001766870587
-1.3133264976127155,0.003910880055843197,1.7920872031521882
-3.1718257096035734,-0.10188594765155098,-0.502134219857101
2.636853998713052,2.2612957812458245,-0.7822435414648237
0.6228964754521675,0.8910479971715328,3.2148925823506396
0.5553722203678242,-0.6597588112710133,-0.7598289452801694
-0.12446491855594355,0.021953526417985078,3.2335349734242644
-1.6060549529839614,2.4695971277492097,-0.6954994857360433
-1.0951688376952635,-3.0812710862197132,-1.3494378098067057
-1.6057558205409275,0.31336668035464743,3.3660400086980453
-1.603637959355316,-2.2434804436455265,3.0509336051577454
2.843829920534775,2.749979434316335,-1.4984531991782848
-1.955580816785434,-1.7899356350500655,2.2041721026176666
-1.6805922769883304,0.1300233665729723,-1.5393588168310737
1.9690826719146,-1.6785331531001209,-2.263567696616371
2.721573998621135,3.0112296460504044,-0.9710756156072013
-0.009793341269512548,-1.7519322499397147,2.5861605746599334
-0.737070283356812,3.0999036662463446,2.521720296100772
0.21565639780743875,0.032823548146396986,-1.5479702732979796
1.4305708668891761,-1.6364145088954654,-0.8045196945387237
-1.6726294028817785,0.19815213014634991,-3.217194383166126
0.10975986486229752,1.5065015790512333,-3.6151647478348536
-1.9978833184358593,1.3196790210496296,-1.0279359128810917
1.0294594974941673,-1.1298497521183495,1.3568735744339957
-0.4893248731475216,-1.1211381251500236,-1.0440331829629674
-2.0517663382718165,-1.5250843097417182,1.6201830645492108
0.7477620315826018,0.8759494919999956,2.0650840099179972
0.7001234515278238,-0.044770418160744785,-1.964082090719107
-1.2488304268413577,-3.6807631261817444,2.27271596142466
-2.1677220852783043,1.6582688569363033,2.7477372401204607
-1.5903982997717576,0.041884827937454225,0.06964904051235339
-1.7309424608802315,-0.09515292473656208,-3.423854936870969
-0.783302392379981,1.6993090473154595,-2.3045398394006624
-1.3488289986005613,-2.5277457588622254,2.578693857909324
1.988204420889273,-1.7617791338425248,-0.2838778934921324
2.4483541098714197,3.623757191716258,-2.1586698612122786
1.7071431953569158,-1.5848088855451703,2.4317938240297785
0.2257792136012014,-1.0245178182650614,-2.088750217899392
1.838805159984923,3.157485731146974,-1.4642627240813781
