Theta,Phi,Lambda
-1.5992905760634155,2.3857716437396106,1.700454224385772
0.9995488173460442,1.7864355084058816,-0.7331535782890076
3.3034540644795656,-1.7535210659440863,0.9099169782647866
-3.0115022215558156,-1.4960815321151353,-0.5625200881278868
-2.1270781456919217,0.8863732926249976,0.9435257892587429
-0.7742994892483929,-0.43164752071391715,1.4104491580967293
-0.1802712776353063,0.4511199487724143,2.00235931247355
0.9109453232276602,2.560326024463578,0.08323186537805578
3.0538195143628584,3.152183110194365,-4.471592306897925
-0.07156349729142551,3.5946931307296426,1.4892757406533244
2.7902573888827145,-1.6667727183539527,1.5321162996154996
1.9782443135213064,1.50040006167092,2.232218145461483
1.661931435130616,-1.5223772732649927,-1.0258636061571618
0.15866196727584503,-4.698828979878739,-0.8768681878925585
1.3166460468862657,1.1655952370511293,-2.0775931691281846
1.2872017026417741,-1.7488280930838263,0.42362202908009766
1.5464069665113838,-0.7087093706510169,1.5435006563387952
3.3709146249985777,0.514000107447165,-4.971387094150226
-2.2387524118667006,0.9236029017726441,1.0562197768621957
1.1858409525087548,2.4065788158513426,-1.521398879440961
1.8658928864667252,2.469015915716942,-0.6277359270280138
2.5179274525501425,0.6326291717102486,-2.0304749445702166
-0.1837975924843135,-2.5197418166472403,1.8218573856195857
2.5534966343241425,-2.7721523472643237,0.6441416574017294
-0.920443723684865,4.11639664238176,-0.28608866460531013
3.946355648790542,3.2634827685610226,-0.645332011598944
-2.6045549890326383,1.510735272199772,0.5758470170409569
1.976139383490428,-1.6976870269490303,-5.0934979029864165
-3.1108824869040843,-1.3099866039736812,-1.6463136150573208
2.6303559924645286,-1.0314399331012112,-0.1470998064708965
2.1391435524432656,0.8537395220702451,-1.4308321616652018
1.1360070390251493,0.901892122349927,0.022198060217237955
2.1224954154850524,-1.6302116256207415,-1.979637057184956
1.4440569866938147,0.32598505633555297,-1.5842625674296011
2.2552988052292178,-1.0305510427980429,-1.739373161511559
-0.06095064470965708,-0.9513810331680281,-0.4978475581725086
1.5349890181537815,-1.4950189355293926,-2.100125870077519
-2.19735143688878,1.5241958268378863,0.31559277419680515
1.4025625675364146,-3.710699975530496,3.8160113203454666
2.490330421352222,-1.1532866831967257,-3.6535272480031575
0.9824360505509466,1.002306037363584,3.163675065731528
0.0742223648530665,0.8454111312725616,-3.6812690723576464
0.13219385935155317,-1.8277830549231968,-0.4297711337045905
2.4052612089704666,1.3174537854919608,1.1304545995494404
1.1797878079886328,-1.3317864662749064,1.4488455851411042
0.2574639054121084,-3.2391084327998656,3.7694528403868444
-0.06070929619125061,-3.065934023374595,-0.2138605389887444
-3.0109548720375328,-1.1006436883141533,1.64908068996838
-1.1903603744995046,1.6102014997046676,-2.476916739950625
2.8064207197767836,-3.242412129132132,-0.09925586073805817
-4.149217865771566,0.16845996228463922,2.1628656777062365
-3.1061011971314008,1.5765626249706954,1.453537152927605
-0.6754449456524094,4.966656885005568,1.0944028205043597
2.7489819249276137,-1.3482642377873129,0.07015741323911753
-3.7218757397780107,-0.11915896446759805,-1.6380549485933553
-1.1101090693902131,4.430153210649993,0.22125583116540198
3.136591135456906,-4.1046927971774565,-0.8780462620680153
1.2719151460816516,-2.3713921303118495,-1.9310563495976079
-0.8991574408271897,0.23618333499465477,-0.7321629343901074
-3.35863135559197,-0.6931773125165066,-2.2720343222995107
0.20710187307485828,-1.4978011640813396,-0.12045581416635325
3.0827264203772087,0.27773297841774885,-1.690731894592518
-1.51501745557106,-2.248389860596394,0.16216412108346298
2.955936956367705,3.618154716386179,0.035457820072471655
-2.2333527995581903,0.576891178281131,-2.452540075177625
-4.0908460899465275,0.36864902362728985,-2.004010878037085
-0.26947834128178044,-4.245194778760825,-5.549277602310394
3.5487347069817146,-0.5701180661884058,3.936900773569416
-3.005939680249169,2.8099383219593097,-0.13492522814646438
-1.8509390866842912,-1.6577956068990054,2.2453856548339255
-3.102792532352838,-1.4569330966424763,1.196241030187062
0.0851533963675847,-3.0681460116983743,-0.38314344394537997
1.0716057601294229,0.6118375502157815,0.5383013723434703
-2.8140841324242634,-3.1815708884729883,-2.575317895786325
0.1752736954847624,-1.3603971574756688,-2.640700918414776
1.3338378121165693,1.1622895269199804,-3.0843331794102316
0.5061444494449402,5.843373899866181,1.3257479020019107
-1.8589152801251705,1.4977211700102373,2.879979604802521
-5.267401890395614,0.6689604925285301,1.4198041151963083
-1.38206349337339,-1.419126032300044,-1.644279057205206
